month,mean_temp
1927-10,27.0474
1927-11,27.2389
1927-12,27.2779
1928-01,26.9271
1928-02,26.9745
1928-03,27.3271
1928-04,27.6305
1928-05,27.9745
1928-06,27.5711
1928-07,27.4271
1928-08,27.3694
1928-09,27.4627
1928-10,27.3474
1928-11,27.0474
1928-12,27.3779
1929-01,26.544
1929-02,26.3745
1929-03,26.5355
1929-04,27.8237
1929-05,27.9745
1929-06,26.8728
1929-07,27.7169
1929-08,27.6525
1929-09,27.3694
1929-10,27.1474
1929-11,26.7457
1929-12,26.8288
1930-01,26.8322
1930-02,27.1677
1930-03,27.0271
1930-04,27.9186
1930-05,27.6762
1930-06,27.3711
1930-07,28.1745
1930-08,28.6983
1930-09,27.6525
1930-10,27.3491
1930-11,27.4288
1930-12,27.2779
1931-01,27.2864
1931-02,28.1033
1931-03,28.0694
1931-04,28.1135
1931-05,28.1627
1931-06,27.9542
1931-07,27.4271
1931-08,28.6983
1931-09,27.4627
1931-10,27.4474
1931-11,27.4288
1931-12,26.5355
1932-01,26.344
1932-02,27.1677
1932-03,26.9288
1932-04,27.3305
1932-05,27.2813
1932-06,26.7796
1932-07,27.2338
1932-08,27.1694
1932-09,27.1694
1932-10,27.5406
1932-11,26.7457
1932-12,27.1135
1933-01,26.644
1933-02,26.8745
1933-03,27.0288
1933-04,27.5305
1933-05,27.8762
1933-06,27.7644
1933-07,27.3338
1933-08,27.6525
1933-09,27.0694
1933-10,27.0474
1933-11,26.5474
1933-12,26.2355
1934-01,25.3983
1934-02,25.8288
1934-03,26.1813
1934-04,26.9322
1934-05,27.7745
1934-06,27.0711
1934-07,27.3338
1934-08,27.5576
1934-09,27.6525
1934-10,27.0491
1934-11,27.1457
1934-12,27.1711
1935-01,27.022
1935-02,27.2627
1935-03,27.8101
1935-04,27.5305
1935-05,27.1762
1935-06,26.9728
1935-07,27.7813
1935-08,27.3694
1935-09,27.8118
1935-10,27.5406
1935-11,27.4288
1935-12,27.1135
1936-01,27.0915
1936-02,27.8152
1936-03,27.3271
1936-04,27.8237
1936-05,27.8745
1936-06,27.2711
1936-07,27.522
1936-08,27.1694
1936-09,27.3694
1936-10,26.7491
1936-11,27.1457
1936-12,27.1881
1937-01,27.1864
1937-02,27.2627
1937-03,27.8745
1937-04,27.8237
1937-05,27.2762
1937-06,27.7644
1937-07,27.6169
1937-08,28.0118
1937-09,27.3694
1937-10,27.0491
1937-11,27.3338
1937-12,27.1186
1938-01,26.9271
1938-02,27.9152
1938-03,27.0271
1938-04,27.5305
1938-05,27.3762
1938-06,27.8593
1938-07,27.3338
1938-08,26.8711
1938-09,27.3694
1938-10,27.4474
1938-11,27.3338
1938-12,27.183
1939-01,26.9338
1939-02,27.0728
1939-03,27.4271
1939-04,27.7305
1939-05,27.7745
1939-06,27.1711
1939-07,27.4271
1939-08,27.2694
1939-09,26.7694
1939-10,26.9474
1939-11,27.3338
1939-12,27
1940-01,27.1728
1940-02,27.2559
1940-03,28.0576
1940-04,28.0084
1940-05,27.8745
1940-06,28.044
1940-07,27.7796
1940-08,27.1694
1940-09,27.2694
1940-10,27.8898
1940-11,27.6864
1940-12,27.3762
1941-01,27.2915
1941-02,27.9135
1941-03,28.2661
1941-04,28.3779
1941-05,28.4203
1941-06,28.6999
1941-07,28.1677
1941-08,27.8152
1941-09,27.9101
1941-10,28.4762
1941-11,27.5881
1941-12,27.6813
1942-01,26.2372
1942-02,26.6745
1942-03,27.0271
1942-04,27.3305
1942-05,27.5745
1942-06,27.2711
1942-07,26.9338
1942-08,26.9694
1942-09,26.9694
1942-10,27.0474
1942-11,26.7457
1942-12,26.3355
1943-01,26.2271
1943-02,26.6677
1943-03,27.0271
1943-04,27.3135
1943-05,27.5745
1943-06,27.2711
1943-07,26.9338
1943-08,26.9694
1943-09,26.9694
1943-10,27.0474
1943-11,26.7457
1943-12,26.3288
1944-01,26.2457
1944-02,26.6745
1944-03,27.0271
1944-04,27.3305
1944-05,27.5745
1944-06,27.2711
1944-07,26.9338
1944-08,26.9694
1944-09,26.9694
1944-10,27.0474
1944-11,26.7457
1944-12,26.3186
1945-01,26.244
1945-02,26.6762
1945-03,27.0254
1945-04,27.3305
1945-05,27.5745
1945-06,27.2711
1945-07,26.9338
1945-08,26.9694
1945-09,26.9694
1945-10,27.0474
1945-11,26.7627
1945-12,26.3423
1946-01,26.244
1946-02,26.6745
1946-03,27.0796
1946-04,27.3305
1946-05,27.5745
1946-06,27.2711
1946-07,26.9338
1946-08,26.9694
1946-09,26.9694
1946-10,27.0474
1946-11,26.7457
1946-12,26.4813
1947-01,26.3898
1947-02,26.7271
1947-03,27.0796
1947-04,27.3423
1947-05,27.6271
1947-06,27.2711
1947-07,26.9338
1947-08,26.9694
1947-09,26.9694
1947-10,27.0474
1947-11,26.7457
1947-12,26.3355
1948-01,26.5457
1948-02,26.9745
1948-03,27.522
1948-04,28.3728
1948-05,28.1627
1948-06,28.2135
1948-07,27.4271
1948-08,28.0118
1948-09,27.7525
1948-10,27.8305
1948-11,27.2389
1948-12,27.6694
1949-01,27.5711
1949-02,27.6169
1949-03,28.1694
1949-04,27.9186
1949-05,27.5762
1949-06,27.5711
1949-07,27.4271
1949-08,27.7525
1949-09,27.6525
1949-10,27.2491
1949-11,27.2389
1949-12,27.1881
1950-01,27.3864
1950-02,27.522
1950-03,27.4288
1950-04,27.3322
1950-05,27.6762
1950-06,27.5711
1950-07,27.2338
1950-08,27.0711
1950-09,27.2694
1950-10,26.9491
1950-11,27.2406
1950-12,26.8237
1951-01,25.6457
1951-02,26.1355
1951-03,27.1728
1951-04,27.7661
1951-05,27.5542
1951-06,28.0728
1951-07,27.0169
1951-08,27.5169
1951-09,27.3237
1951-10,27.1322
1951-11,27.4
1951-12,26.983
1952-01,26.4186
1952-02,26.5661
1952-03,26.8135
1952-04,27.7762
1952-05,28.0169
1952-06,28.1016
1952-07,27.2203
1952-08,27.0508
1952-09,27.4118
1952-10,27.622
1952-11,26.7949
1952-12,26.6847
1953-01,26.4915
1953-02,26.344
1953-03,26.8237
1953-04,27.222
1953-05,27.2779
1953-06,27.805
1953-07,26.7338
1953-08,27.7288
1953-09,27.244
1953-10,27.3322
1953-11,27.1322
1953-12,27.1508
1954-01,26.4338
1954-02,26.9508
1954-03,26.9237
1954-04,27.1118
1954-05,27.3644
1954-06,27.1576
1954-07,26.6389
1954-08,26.9694
1954-09,27.0525
1954-10,26.2745
1954-11,26.5305
1954-12,25.9508
1955-01,25.8559
1955-02,26.844
1955-03,27.1203
1955-04,27.4711
1955-05,27.9491
1955-06,27.3457
1955-07,26.5457
1955-08,26.3779
1955-09,26.5915
1955-10,26.6593
1955-11,26.822
1955-12,25.9457
1956-01,25.5576
1956-02,26.361
1956-03,26.9016
1956-04,27.3169
1956-05,26.7864
1956-06,26.7779
1956-07,26.1508
1956-08,26.3847
1956-09,26.6694
1956-10,26.5542
1956-11,26.161
1956-12,25.9355
1957-01,26.244
1957-02,26.5745
1957-03,26.8152
1957-04,27.4186
1957-05,27.1033
1957-06,27.6711
1957-07,26.9338
1957-08,26.7745
1957-09,26.7694
1957-10,27.0474
1957-11,26.8457
1957-12,26.044
1958-01,26.844
1958-02,26.7745
1958-03,27.4067
1958-04,27.9305
1958-05,27.4864
1958-06,27.483
1958-07,27.5152
1958-08,26.6813
1958-09,27.4457
1958-10,27.1542
1958-11,26.6338
1958-12,26.7186
1959-01,26.4423
1959-02,27.2576
1959-03,26.7423
1959-04,26.9305
1959-05,27.3864
1959-06,27.1711
1959-07,27.2101
1959-08,26.6864
1959-09,26.9559
1959-10,27.0474
1959-11,26.5457
1959-12,26.4338
1960-01,26.3254
1960-02,26.3745
1960-03,26.9271
