year,temperature(c)
1901-10, 27.0474
1902-10, 27.0474
1903-10, 27.0474
1904-10, 27.0491
1905-10, 27.0542
1906-10, 27.0474
1907-10, 27.0474
1908-10, 27.0474
1909-10, 27.0491
1910-10, 27.0474
1911-10, 27.5406
1912-10, 27.6355
1913-10, 27.8898
1914-10, 27.9898
1915-10, 27.8305
1916-10, 27.8898
1917-10, 27.5406
1918-10, 27.2474
1919-10, 27.7305
1920-10, 27.7305
1921-10, 27.2474
1922-10, 27.4474
1923-10, 27.4474
1924-10, 27.0305
1925-10, 27.2474
1926-10, 27.3474
1927-10, 27.0474
1928-10, 27.3474
1929-10, 27.1474
1930-10, 27.3491
1931-10, 27.4474
1932-10, 27.5406
1933-10, 27.0474
1934-10, 27.0491
1935-10, 27.5406
1936-10, 26.7491
1937-10, 27.0491
1938-10, 27.4474
1939-10, 26.9474
1940-10, 27.8898
1941-10, 28.4762
1942-10, 27.0474
1943-10, 27.0474
1944-10, 27.0474
1945-10, 27.0474
1946-10, 27.0474
1947-10, 27.0474
1948-10, 27.8305
1949-10, 27.2491
1950-10, 26.9491
1951-10, 27.1322
1952-10, 27.622
1953-10, 27.3322
1954-10, 26.2745
1955-10, 26.6593
1956-10, 26.5542
1957-10, 27.0474
1958-10, 27.1542
1959-10, 27.0474
1960-10, 27.1474
1961-10, 27.0254
1962-10, 27.0338
1963-10, 26.7474
1964-10, 26.3593
1965-10, 26.6932
1966-10, 26.6644
1967-10, 26.8525
1968-10, 26.2016
1969-10, 26.9474
1970-10, 26.6084
1971-10, 26.6864
1972-10, 27.1355
1973-10, 26.5627
1974-10, 26.6762
1975-10, 26.5593
1976-10, 26.6016
1977-10, 27.1491
1978-10, 27.0576
1979-10, 27.1406
1980-10, 27.2542
1981-10, 27.7288
1982-10, 27.5779
1983-10, 27.8305
1984-10, 27.2372
1985-10, 26.9474
1986-10, 27.1406
1987-10, 27.9949
1988-10, 27.6372
1989-10, 27.3254
1990-10, 27.7237
1991-10, 27.7135
1992-10, 27.5576
1993-10, 27.6779
1994-10, 27.9949
1995-10, 27.9847
1996-10, 27.7101
1997-10, 28.2932
1998-10, 28.2355
1999-10, 27.4491
2000-10, 27.9745
2001-10, 27.8288
2002-10, 28.2067
2003-10, 27.7813
2004-10, 27.9762
2005-10, 27.8101
2006-10, 28.4491
2007-10, 28.0237
2008-10, 27.8457
2009-10, 28.4847
2010-10, 28.4898
2011-10, 27.6423
2012-10, 28.0152
2013-10, 28.0152
2014-10, 28.2
2015-10, 28.2644
