year,temperature_prediction(c)
1982.000000, 27.5981
1983.000000, 27.6246
1984.000000, 27.6511
1985.000000, 27.6777
1986.000000, 27.7042
1987.000000, 27.7307
1988.000000, 27.7573
1989.000000, 27.7838
1990.000000, 27.8104
1991.000000, 27.8369
1992.000000, 27.8634
1993.000000, 27.89
1994.000000, 27.9165
1995.000000, 27.9431
1996.000000, 27.9696
1997.000000, 27.9961
1998.000000, 28.0227
1999.000000, 28.0492
2000.000000, 28.0758
2001.000000, 28.1023
2002.000000, 28.1288
2003.000000, 28.1554
2004.000000, 28.1819
2005.000000, 28.2084
2006.000000, 28.235
2007.000000, 28.2615
2008.000000, 28.2881
2009.000000, 28.3146
2010.000000, 28.3411
2011.000000, 28.3677
2012.000000, 28.3942
2013.000000, 28.4208
2014.000000, 28.4473
2015.000000, 28.4738
2016.000000, 28.5004
2017.000000, 28.5269
2018.000000, 28.5534
2019.000000, 28.58
2020.000000, 28.6065
2021.000000, 28.6331
2022.000000, 28.6596
2023.000000, 28.6861
2024.000000, 28.7127
2025.000000, 28.7392
2026.000000, 28.7658
2027.000000, 28.7923
2028.000000, 28.8188
2029.000000, 28.8454
2030.000000, 28.8719
2031.000000, 28.8984
2032.000000, 28.925
2033.000000, 28.9515
2034.000000, 28.9781
2035.000000, 29.0046
2036.000000, 29.0311
2037.000000, 29.0577
2038.000000, 29.0842
2039.000000, 29.1108
2040.000000, 29.1373
