year,temperature(c)
1982-09, 27.9
1983-09, 27.2
1984-09, 26.8
1985-09, 26.9
1986-09, 26.7
1987-09, 27.6
1988-09, 27.1
1989-09, 26.9
1990-09, 27.2
1991-09, 27.5
1992-09, 27.3
1993-09, 27.9
1994-09, 28.3
1995-09, 28.3
1996-09, 27.7
1997-09, 28.8
1998-09, 27.9
1999-09, 27.9
2000-09, 28
2001-09, 28
2002-09, 28.1
2003-09, 27.6
2004-09, 27.8
2005-09, 28.2
2006-09, 28
2007-09, 27.8
2008-09, 27.7
2009-09, 28.3
2010-09, 28
2011-09, 27.8
2012-09, 27.9
2013-09, 27.5
2014-09, 28.5
2015-09, 28.7
2016-09, 28.3
2017-09, 28
2018-09, 28
