year,temperature_prediction(c)
1982.000000, 26.1996
1983.000000, 26.2228
1984.000000, 26.246
1985.000000, 26.2692
1986.000000, 26.2924
1987.000000, 26.3156
1988.000000, 26.3388
1989.000000, 26.3619
1990.000000, 26.3851
1991.000000, 26.4083
1992.000000, 26.4315
1993.000000, 26.4547
1994.000000, 26.4779
1995.000000, 26.5011
1996.000000, 26.5242
1997.000000, 26.5474
1998.000000, 26.5706
1999.000000, 26.5938
2000.000000, 26.617
2001.000000, 26.6402
2002.000000, 26.6634
2003.000000, 26.6865
2004.000000, 26.7097
2005.000000, 26.7329
2006.000000, 26.7561
2007.000000, 26.7793
2008.000000, 26.8025
2009.000000, 26.8257
2010.000000, 26.8489
2011.000000, 26.872
2012.000000, 26.8952
2013.000000, 26.9184
2014.000000, 26.9416
2015.000000, 26.9648
2016.000000, 26.988
2017.000000, 27.0112
2018.000000, 27.0343
