year,temperature_prediction(c)
1901.000000, 27.0317
1902.000000, 27.0373
1903.000000, 27.043
1904.000000, 27.0487
1905.000000, 27.0544
1906.000000, 27.06
1907.000000, 27.0657
1908.000000, 27.0714
1909.000000, 27.077
1910.000000, 27.0827
1911.000000, 27.0884
1912.000000, 27.0941
1913.000000, 27.0997
1914.000000, 27.1054
1915.000000, 27.1111
1916.000000, 27.1167
1917.000000, 27.1224
1918.000000, 27.1281
1919.000000, 27.1338
1920.000000, 27.1394
1921.000000, 27.1451
1922.000000, 27.1508
1923.000000, 27.1564
1924.000000, 27.1621
1925.000000, 27.1678
1926.000000, 27.1735
1927.000000, 27.1791
1928.000000, 27.1848
1929.000000, 27.1905
1930.000000, 27.1961
1931.000000, 27.2018
1932.000000, 27.2075
1933.000000, 27.2132
1934.000000, 27.2188
1935.000000, 27.2245
1936.000000, 27.2302
1937.000000, 27.2358
1938.000000, 27.2415
1939.000000, 27.2472
1940.000000, 27.2528
1941.000000, 27.2585
1942.000000, 27.2642
1943.000000, 27.2699
1944.000000, 27.2755
1945.000000, 27.2812
1946.000000, 27.2869
1947.000000, 27.2925
1948.000000, 27.2982
1949.000000, 27.3039
1950.000000, 27.3096
1951.000000, 27.3152
1952.000000, 27.3209
1953.000000, 27.3266
1954.000000, 27.3322
1955.000000, 27.3379
1956.000000, 27.3436
1957.000000, 27.3493
1958.000000, 27.3549
1959.000000, 27.3606
1960.000000, 27.3663
1961.000000, 27.3719
1962.000000, 27.3776
1963.000000, 27.3833
1964.000000, 27.389
1965.000000, 27.3946
1966.000000, 27.4003
1967.000000, 27.406
1968.000000, 27.4116
1969.000000, 27.4173
1970.000000, 27.423
1971.000000, 27.4287
1972.000000, 27.4343
1973.000000, 27.44
1974.000000, 27.4457
1975.000000, 27.4513
1976.000000, 27.457
1977.000000, 27.4627
1978.000000, 27.4684
1979.000000, 27.474
1980.000000, 27.4797
1981.000000, 27.4854
1982.000000, 27.491
1983.000000, 27.4967
1984.000000, 27.5024
1985.000000, 27.508
1986.000000, 27.5137
1987.000000, 27.5194
1988.000000, 27.5251
1989.000000, 27.5307
1990.000000, 27.5364
1991.000000, 27.5421
1992.000000, 27.5477
1993.000000, 27.5534
1994.000000, 27.5591
1995.000000, 27.5648
1996.000000, 27.5704
1997.000000, 27.5761
1998.000000, 27.5818
1999.000000, 27.5874
2000.000000, 27.5931
2001.000000, 27.5988
2002.000000, 27.6045
2003.000000, 27.6101
2004.000000, 27.6158
2005.000000, 27.6215
2006.000000, 27.6271
2007.000000, 27.6328
2008.000000, 27.6385
2009.000000, 27.6442
2010.000000, 27.6498
2011.000000, 27.6555
2012.000000, 27.6612
2013.000000, 27.6668
2014.000000, 27.6725
2015.000000, 27.6782
2016.000000, 27.6839
2017.000000, 27.6895
2018.000000, 27.6952
