year,temperature(c)
1901.083333, 26.244
1901.166667, 26.6745
1901.250000, 27.0271
1901.333333, 27.3305
1901.416667, 27.5745
1901.500000, 27.2711
1901.583333, 26.9338
1901.666667, 26.9694
1901.750000, 26.9694
1901.833333, 27.0474
1901.916667, 26.7457
1902.000000, 26.3355
1902.083333, 26.2271
1902.166667, 26.6355
1902.250000, 27.0271
1902.333333, 27.3305
1902.416667, 27.5745
1902.500000, 27.2881
1902.583333, 26.9355
1902.666667, 26.9694
1902.750000, 26.9694
1902.833333, 27.0474
1902.916667, 26.7457
1903.000000, 26.3677
1903.083333, 26.2457
1903.166667, 26.6677
1903.250000, 27.044
1903.333333, 27.3474
1903.416667, 27.5813
1903.500000, 27.2694
1903.583333, 26.9338
1903.666667, 26.9694
1903.750000, 26.9677
1903.833333, 27.0474
1903.916667, 26.7288
1904.000000, 26.2644
1904.083333, 26.1728
1904.166667, 26.6355
1904.250000, 27.0271
1904.333333, 27.3237
1904.416667, 27.5745
1904.500000, 27.2711
1904.583333, 26.9338
1904.666667, 26.9711
1904.750000, 26.9694
1904.833333, 27.0491
1904.916667, 26.7389
1905.000000, 26.3186
1905.083333, 26.261
1905.166667, 26.6915
1905.250000, 27.0338
1905.333333, 27.3474
1905.416667, 27.5745
1905.500000, 27.2711
1905.583333, 26.9338
1905.666667, 26.9864
1905.750000, 26.9711
1905.833333, 27.0542
1905.916667, 26.7474
1906.000000, 26.4118
1906.083333, 26.283
1906.166667, 26.7084
1906.250000, 27.044
1906.333333, 27.3644
1906.416667, 27.6067
1906.500000, 27.2779
1906.583333, 26.9406
1906.666667, 26.9864
1906.750000, 26.9864
1906.833333, 27.0474
1906.916667, 26.7389
1907.000000, 26.3355
1907.083333, 26.244
1907.166667, 26.6745
1907.250000, 27.0203
1907.333333, 27.3305
1907.416667, 27.5745
1907.500000, 27.2711
1907.583333, 26.9338
1907.666667, 26.9694
1907.750000, 26.9694
1907.833333, 27.0474
1907.916667, 26.7457
1908.000000, 26.3016
1908.083333, 26.244
1908.166667, 26.6745
1908.250000, 27.0271
1908.333333, 27.3305
1908.416667, 27.5745
1908.500000, 27.2711
1908.583333, 26.9338
1908.666667, 26.9694
1908.750000, 26.9694
1908.833333, 27.0474
1908.916667, 26.7135
1909.000000, 26.3355
1909.083333, 26.244
1909.166667, 26.6745
1909.250000, 27.0271
1909.333333, 27.3305
1909.416667, 27.5745
1909.500000, 27.2711
1909.583333, 26.9338
1909.666667, 26.9694
1909.750000, 26.9694
1909.833333, 27.0491
1909.916667, 26.7288
1910.000000, 26.3186
1910.083333, 26.2457
1910.166667, 26.6576
1910.250000, 27.0101
1910.333333, 27.3305
1910.416667, 27.5745
1910.500000, 27.2711
1910.583333, 26.9338
1910.666667, 26.9694
1910.750000, 26.9694
1910.833333, 27.0474
1910.916667, 26.7457
1911.000000, 26.3033
1911.083333, 26.444
1911.166667, 27.6169
1911.250000, 27.6152
1911.333333, 28.0135
1911.416667, 27.9745
1911.500000, 28.0542
1911.583333, 28.1745
1911.666667, 27.3694
1911.750000, 27.6525
1911.833333, 27.5406
1911.916667, 27.9864
1912.000000, 27.3779
1912.083333, 27.8779
1912.166667, 27.8169
1912.250000, 28.461
1912.333333, 28.1135
1912.416667, 27.9745
1912.500000, 27.4711
1912.583333, 27.522
1912.666667, 27.4627
1912.750000, 27.6525
1912.833333, 27.6355
1912.916667, 27.5288
1913.000000, 27.2779
1913.083333, 27.0271
1913.166667, 27.6169
1913.250000, 28.3677
1913.333333, 27.4322
1913.416667, 27.9762
1913.500000, 27.2711
1913.583333, 27.522
1913.666667, 27.6525
1913.750000, 27.6525
1913.833333, 27.8898
1913.916667, 27.683
1914.000000, 27.4779
1914.083333, 27.0271
1914.166667, 28.0084
1914.250000, 27.8101
1914.333333, 27.9186
1914.416667, 28.9152
1914.500000, 27.3711
1914.583333, 27.7169
1914.666667, 28.1101
1914.750000, 28.1118
1914.833333, 27.9898
1914.916667, 28.1813
1915.000000, 27.9711
1915.083333, 27.1864
1915.166667, 27.6169
1915.250000, 27.7101
1915.333333, 28.1135
1915.416667, 28.3576
1915.500000, 28.2118
1915.583333, 27.2355
1915.666667, 28.3084
1915.750000, 27.6525
1915.833333, 27.8305
1915.916667, 27.9864
1916.000000, 27.2661
1916.083333, 26.8322
1916.166667, 27.7169
1916.250000, 27.6152
1916.333333, 28.0152
1916.416667, 27.7745
1916.500000, 27.5711
1916.583333, 26.5355
1916.666667, 27.1694
1916.750000, 27.7525
1916.833333, 27.8898
1916.916667, 27.783
1917.000000, 27.183
1917.083333, 26.344
1917.166667, 26.4762
1917.250000, 27.1271
1917.333333, 27.7305
1917.416667, 26.7983
1917.500000, 27.2728
1917.583333, 27.2338
1917.666667, 26.8694
1917.750000, 27.2694
1917.833333, 27.5406
1917.916667, 27.783
1918.000000, 26.8288
1918.083333, 25.005
1918.166667, 25.2406
1918.250000, 27.3271
1918.333333, 27.1322
1918.416667, 27.2745
1918.500000, 26.7796
1918.583333, 27.4271
1918.666667, 27.6525
1918.750000, 27.4627
