year,temperature_prediction(c)
1982.000000, 27.5091
1983.000000, 27.5245
1984.000000, 27.5399
1985.000000, 27.5553
1986.000000, 27.5706
1987.000000, 27.586
1988.000000, 27.6014
1989.000000, 27.6168
1990.000000, 27.6321
1991.000000, 27.6475
1992.000000, 27.6629
1993.000000, 27.6783
1994.000000, 27.6937
1995.000000, 27.709
1996.000000, 27.7244
1997.000000, 27.7398
1998.000000, 27.7552
1999.000000, 27.7705
2000.000000, 27.7859
2001.000000, 27.8013
2002.000000, 27.8167
2003.000000, 27.8321
2004.000000, 27.8474
2005.000000, 27.8628
2006.000000, 27.8782
2007.000000, 27.8936
2008.000000, 27.9089
2009.000000, 27.9243
2010.000000, 27.9397
2011.000000, 27.9551
2012.000000, 27.9704
2013.000000, 27.9858
2014.000000, 28.0012
2015.000000, 28.0166
2016.000000, 28.032
2017.000000, 28.0473
2018.000000, 28.0627
