year,temperature_prediction(c)
1982.000000, 26.9835
1983.000000, 26.9955
1984.000000, 27.0076
1985.000000, 27.0197
1986.000000, 27.0317
1987.000000, 27.0438
1988.000000, 27.0559
1989.000000, 27.068
1990.000000, 27.08
1991.000000, 27.0921
1992.000000, 27.1042
1993.000000, 27.1162
1994.000000, 27.1283
1995.000000, 27.1404
1996.000000, 27.1524
1997.000000, 27.1645
1998.000000, 27.1766
1999.000000, 27.1886
2000.000000, 27.2007
2001.000000, 27.2128
2002.000000, 27.2248
2003.000000, 27.2369
2004.000000, 27.249
2005.000000, 27.261
2006.000000, 27.2731
2007.000000, 27.2852
2008.000000, 27.2972
2009.000000, 27.3093
2010.000000, 27.3214
2011.000000, 27.3334
2012.000000, 27.3455
2013.000000, 27.3576
2014.000000, 27.3696
2015.000000, 27.3817
2016.000000, 27.3938
2017.000000, 27.4058
2018.000000, 27.4179
2019.000000, 27.43
2020.000000, 27.442
2021.000000, 27.4541
2022.000000, 27.4662
2023.000000, 27.4782
2024.000000, 27.4903
2025.000000, 27.5024
2026.000000, 27.5144
2027.000000, 27.5265
2028.000000, 27.5386
2029.000000, 27.5506
2030.000000, 27.5627
