year,temperature(c)
1982-08, 27.7
1983-08, 28.1
1984-08, 27.4
1985-08, 27.7
1986-08, 28.3
1987-08, 27.4
1988-08, 27
1989-08, 27.1
1990-08, 28
1991-08, 28.2
1992-08, 27.8
1993-08, 28.6
1994-08, 28.1
1995-08, 27.4
1996-08, 27.4
1997-08, 28.8
1998-08, 27.5
1999-08, 27.5
2000-08, 27.5
2001-08, 28
2002-08, 28.5
2003-08, 28.2
2004-08, 28.3
2005-08, 28.2
2006-08, 28.3
2007-08, 27.7
2008-08, 27.4
2009-08, 28.3
2010-08, 27.9
2011-08, 27.9
2012-08, 27.9
2013-08, 27.9
2014-08, 27.7
2015-08, 28.4
2016-08, 28.9
2017-08, 28.1
2018-08, 28.5
