year,temperature(c)
1982-03, 27.4288
1983-03, 29.0661
1984-03, 26.7254
1985-03, 27.2983
1986-03, 26.6559
1987-03, 27.722
1988-03, 27.5372
1989-03, 26.5694
1990-03, 28.3372
1991-03, 27.9728
1992-03, 28.3779
1993-03, 26.9389
1994-03, 27.0271
1995-03, 27.7881
1996-03, 27.8728
1997-03, 28.2406
1998-03, 28.722
1999-03, 27.3423
2000-03, 27.4152
2001-03, 27.6
2002-03, 28.3491
2003-03, 28.2677
2004-03, 27.9254
2005-03, 28.6423
2006-03, 28.4508
2007-03, 27.7186
2008-03, 26.7372
2009-03, 27.4152
2010-03, 28.7406
2011-03, 27.2932
2012-03, 27.4355
2013-03, 28.383
2014-03, 28.0389
2015-03, 28.0322
