year,temperature_prediction(c)
1901.000000, 26.9799
1902.000000, 26.9849
1903.000000, 26.99
1904.000000, 26.995
1905.000000, 27.0001
1906.000000, 27.0051
1907.000000, 27.0102
1908.000000, 27.0152
1909.000000, 27.0203
1910.000000, 27.0253
1911.000000, 27.0304
1912.000000, 27.0354
1913.000000, 27.0405
1914.000000, 27.0455
1915.000000, 27.0506
1916.000000, 27.0556
1917.000000, 27.0607
1918.000000, 27.0657
1919.000000, 27.0708
1920.000000, 27.0758
1921.000000, 27.0809
1922.000000, 27.0859
1923.000000, 27.091
1924.000000, 27.096
1925.000000, 27.1011
1926.000000, 27.1061
1927.000000, 27.1112
1928.000000, 27.1162
1929.000000, 27.1213
1930.000000, 27.1263
1931.000000, 27.1314
1932.000000, 27.1364
1933.000000, 27.1415
1934.000000, 27.1465
1935.000000, 27.1516
1936.000000, 27.1566
1937.000000, 27.1617
1938.000000, 27.1667
1939.000000, 27.1718
1940.000000, 27.1768
1941.000000, 27.1819
1942.000000, 27.1869
1943.000000, 27.192
1944.000000, 27.197
1945.000000, 27.202
1946.000000, 27.2071
1947.000000, 27.2121
1948.000000, 27.2172
1949.000000, 27.2222
1950.000000, 27.2273
1951.000000, 27.2323
1952.000000, 27.2374
1953.000000, 27.2424
1954.000000, 27.2475
1955.000000, 27.2525
1956.000000, 27.2576
1957.000000, 27.2626
1958.000000, 27.2677
1959.000000, 27.2727
1960.000000, 27.2778
1961.000000, 27.2828
1962.000000, 27.2879
1963.000000, 27.2929
1964.000000, 27.298
1965.000000, 27.303
1966.000000, 27.3081
1967.000000, 27.3131
1968.000000, 27.3182
1969.000000, 27.3232
1970.000000, 27.3283
1971.000000, 27.3333
1972.000000, 27.3384
1973.000000, 27.3434
1974.000000, 27.3485
1975.000000, 27.3535
1976.000000, 27.3586
1977.000000, 27.3636
1978.000000, 27.3687
1979.000000, 27.3737
1980.000000, 27.3788
1981.000000, 27.3838
1982.000000, 27.3889
1983.000000, 27.3939
1984.000000, 27.399
1985.000000, 27.404
1986.000000, 27.4091
1987.000000, 27.4141
1988.000000, 27.4192
1989.000000, 27.4242
1990.000000, 27.4293
1991.000000, 27.4343
1992.000000, 27.4394
1993.000000, 27.4444
1994.000000, 27.4495
1995.000000, 27.4545
1996.000000, 27.4596
1997.000000, 27.4646
1998.000000, 27.4697
1999.000000, 27.4747
2000.000000, 27.4798
2001.000000, 27.4848
2002.000000, 27.4899
2003.000000, 27.4949
2004.000000, 27.5
2005.000000, 27.505
2006.000000, 27.5101
2007.000000, 27.5151
2008.000000, 27.5202
2009.000000, 27.5252
2010.000000, 27.5303
2011.000000, 27.5353
2012.000000, 27.5404
2013.000000, 27.5454
2014.000000, 27.5505
2015.000000, 27.5555
2016.000000, 27.5606
2017.000000, 27.5656
2018.000000, 27.5707
