year,temperature(c)
1982-02, 27.1
1983-02, 28.1
1984-02, 25.8
1985-02, 27
1986-02, 26.9
1987-02, 26.6
1988-02, 27.1
1989-02, 26.6
1990-02, 27.6
1991-02, 27.1
1992-02, 27.5
1993-02, 26.7
1994-02, 27
1995-02, 26.5
1996-02, 26.5
1997-02, 27.4
1998-02, 28.9
1999-02, 27.2
2000-02, 26.6
2001-02, 27
2002-02, 27.3
2003-02, 27.1
2004-02, 27.6
2005-02, 28.5
2006-02, 27.5
2007-02, 27.3
2008-02, 26.7
2009-02, 27.3
2010-02, 28.9
2011-02, 27.3
2012-02, 27.2
2013-02, 26.5
2014-02, 27.2
2015-02, 27
2016-02, 27.8
2017-02, 26.9
2018-02, 27.2
