year,temperature(c)
1982-01, 25.9
1983-01, 26.5
1984-01, 25.5
1985-01, 26.6
1986-01, 25.7
1987-01, 25.5
1988-01, 26.8
1989-01, 26.5
1990-01, 26.2
1991-01, 26.7
1992-01, 26.6
1993-01, 26.2
1994-01, 26.9
1995-01, 26.8
1996-01, 26.2
1997-01, 27.1
1998-01, 28
1999-01, 26.6
2000-01, 26.3
2001-01, 26.5
2002-01, 27
2003-01, 26.7
2004-01, 26.9
2005-01, 26.6
2006-01, 26.5
2007-01, 26.5
2008-01, 26.8
2009-01, 26.8
2010-01, 27.5
2011-01, 26.3
2012-01, 26.7
2013-01, 27.1
2014-01, 26.2
2015-01, 26.9
2016-01, 28.3
2017-01, 26.9
