year,temperature_prediction(c)
1992.000000, 27.1906
1993.000000, 27.1975
1994.000000, 27.2044
1995.000000, 27.2113
1996.000000, 27.2182
1997.000000, 27.2251
1998.000000, 27.232
1999.000000, 27.2389
2000.000000, 27.2458
2001.000000, 27.2527
2002.000000, 27.2596
2003.000000, 27.2665
2004.000000, 27.2734
2005.000000, 27.2803
2006.000000, 27.2872
2007.000000, 27.2941
2008.000000, 27.301
2009.000000, 27.3079
2010.000000, 27.3148
2011.000000, 27.3217
2012.000000, 27.3286
2013.000000, 27.3355
2014.000000, 27.3424
2015.000000, 27.3493
2016.000000, 27.3562
2017.000000, 27.3631
2018.000000, 27.37
2019.000000, 27.3769
2020.000000, 27.3838
2021.000000, 27.3907
2022.000000, 27.3976
2023.000000, 27.4045
2024.000000, 27.4114
2025.000000, 27.4183
2026.000000, 27.4252
2027.000000, 27.4321
2028.000000, 27.439
2029.000000, 27.4459
2030.000000, 27.4528
2031.000000, 27.4597
2032.000000, 27.4666
2033.000000, 27.4735
2034.000000, 27.4804
2035.000000, 27.4873
2036.000000, 27.4942
2037.000000, 27.5011
2038.000000, 27.508
2039.000000, 27.5149
2040.000000, 27.5218
2041.000000, 27.5287
2042.000000, 27.5356
2043.000000, 27.5425
2044.000000, 27.5494
2045.000000, 27.5563
2046.000000, 27.5632
2047.000000, 27.5701
2048.000000, 27.577
2049.000000, 27.5839
2050.000000, 27.5908
2051.000000, 27.5977
2052.000000, 27.6046
2053.000000, 27.6115
2054.000000, 27.6184
2055.000000, 27.6253
2056.000000, 27.6322
2057.000000, 27.6391
2058.000000, 27.646
2059.000000, 27.6529
2060.000000, 27.6598
2061.000000, 27.6667
2062.000000, 27.6736
2063.000000, 27.6805
2064.000000, 27.6874
2065.000000, 27.6943
2066.000000, 27.7011
2067.000000, 27.708
2068.000000, 27.7149
2069.000000, 27.7218
2070.000000, 27.7287
2071.000000, 27.7356
2072.000000, 27.7425
2073.000000, 27.7494
2074.000000, 27.7563
2075.000000, 27.7632
2076.000000, 27.7701
2077.000000, 27.777
2078.000000, 27.7839
2079.000000, 27.7908
2080.000000, 27.7977
2081.000000, 27.8046
2082.000000, 27.8115
2083.000000, 27.8184
2084.000000, 27.8253
2085.000000, 27.8322
2086.000000, 27.8391
2087.000000, 27.846
2088.000000, 27.8529
2089.000000, 27.8598
2090.000000, 27.8667
