year,temperature_prediction(c)
1982.000000, 27.2928
1983.000000, 27.3126
1984.000000, 27.3324
1985.000000, 27.3522
1986.000000, 27.372
1987.000000, 27.3918
1988.000000, 27.4116
1989.000000, 27.4313
1990.000000, 27.4511
1991.000000, 27.4709
1992.000000, 27.4907
1993.000000, 27.5105
1994.000000, 27.5303
1995.000000, 27.5501
1996.000000, 27.5699
1997.000000, 27.5897
1998.000000, 27.6095
1999.000000, 27.6293
2000.000000, 27.6491
2001.000000, 27.6689
2002.000000, 27.6887
2003.000000, 27.7085
2004.000000, 27.7283
2005.000000, 27.7481
2006.000000, 27.7679
2007.000000, 27.7877
2008.000000, 27.8075
2009.000000, 27.8273
2010.000000, 27.8471
2011.000000, 27.8669
2012.000000, 27.8867
2013.000000, 27.9065
2014.000000, 27.9263
2015.000000, 27.946
2016.000000, 27.9658
2017.000000, 27.9856
2018.000000, 28.0054
2019.000000, 28.0252
2020.000000, 28.045
2021.000000, 28.0648
2022.000000, 28.0846
2023.000000, 28.1044
2024.000000, 28.1242
2025.000000, 28.144
2026.000000, 28.1638
2027.000000, 28.1836
2028.000000, 28.2034
2029.000000, 28.2232
2030.000000, 28.243
2031.000000, 28.2628
2032.000000, 28.2826
2033.000000, 28.3024
2034.000000, 28.3222
2035.000000, 28.342
2036.000000, 28.3618
2037.000000, 28.3816
2038.000000, 28.4014
2039.000000, 28.4212
2040.000000, 28.4409
2041.000000, 28.4607
2042.000000, 28.4805
2043.000000, 28.5003
2044.000000, 28.5201
2045.000000, 28.5399
2046.000000, 28.5597
2047.000000, 28.5795
2048.000000, 28.5993
2049.000000, 28.6191
2050.000000, 28.6389
2051.000000, 28.6587
2052.000000, 28.6785
2053.000000, 28.6983
2054.000000, 28.7181
2055.000000, 28.7379
2056.000000, 28.7577
2057.000000, 28.7775
2058.000000, 28.7973
2059.000000, 28.8171
2060.000000, 28.8369
2061.000000, 28.8567
2062.000000, 28.8765
2063.000000, 28.8963
2064.000000, 28.9161
2065.000000, 28.9359
2066.000000, 28.9556
2067.000000, 28.9754
2068.000000, 28.9952
2069.000000, 29.015
2070.000000, 29.0348
2071.000000, 29.0546
2072.000000, 29.0744
2073.000000, 29.0942
2074.000000, 29.114
2075.000000, 29.1338
2076.000000, 29.1536
2077.000000, 29.1734
2078.000000, 29.1932
2079.000000, 29.213
2080.000000, 29.2328
2081.000000, 29.2526
2082.000000, 29.2724
2083.000000, 29.2922
2084.000000, 29.312
2085.000000, 29.3318
2086.000000, 29.3516
2087.000000, 29.3714
2088.000000, 29.3912
2089.000000, 29.411
2090.000000, 29.4308
