year,temperature(c)
1982-12, 26.2
1983-12, 25.4
1984-12, 26
1985-12, 26.1
1986-12, 26.3
1987-12, 26.4
1988-12, 26.2
1989-12, 26.3
1990-12, 26.3
1991-12, 25.6
1992-12, 25.5
1993-12, 26.5
1994-12, 26.9
1995-12, 26.3
1996-12, 26.6
1997-12, 27.3
1998-12, 26.6
1999-12, 26.8
2000-12, 27
2001-12, 26.7
2002-12, 27.2
2003-12, 26.5
2004-12, 26.8
2005-12, 27.3
2006-12, 26.6
2007-12, 26.4
2008-12, 26.9
2009-12, 27.1
2010-12, 26.8
2011-12, 26.6
2012-12, 26.7
2013-12, 26.5
2014-12, 27
2015-12, 27.7
2016-12, 27.4
2017-12, 27
