year,temperature_prediction(c)
1982.000000, 27.2931
1983.000000, 27.3156
1984.000000, 27.338
1985.000000, 27.3605
1986.000000, 27.3829
1987.000000, 27.4054
1988.000000, 27.4278
1989.000000, 27.4503
1990.000000, 27.4727
1991.000000, 27.4952
1992.000000, 27.5176
1993.000000, 27.5401
1994.000000, 27.5625
1995.000000, 27.585
1996.000000, 27.6074
1997.000000, 27.6299
1998.000000, 27.6523
1999.000000, 27.6748
2000.000000, 27.6972
2001.000000, 27.7197
2002.000000, 27.7421
2003.000000, 27.7646
2004.000000, 27.787
2005.000000, 27.8095
2006.000000, 27.8319
2007.000000, 27.8544
2008.000000, 27.8768
2009.000000, 27.8993
2010.000000, 27.9217
2011.000000, 27.9442
2012.000000, 27.9666
2013.000000, 27.9891
2014.000000, 28.0115
2015.000000, 28.034
2016.000000, 28.0564
2017.000000, 28.0789
2018.000000, 28.1013
2019.000000, 28.1238
2020.000000, 28.1462
2021.000000, 28.1687
2022.000000, 28.1911
2023.000000, 28.2136
2024.000000, 28.236
2025.000000, 28.2585
2026.000000, 28.2809
2027.000000, 28.3034
2028.000000, 28.3259
2029.000000, 28.3483
2030.000000, 28.3708
