year,temperature_prediction(c)
1982.000000, 26.1996
1983.000000, 26.2228
1984.000000, 26.246
1985.000000, 26.2692
1986.000000, 26.2924
1987.000000, 26.3156
1988.000000, 26.3388
1989.000000, 26.3619
1990.000000, 26.3851
1991.000000, 26.4083
1992.000000, 26.4315
1993.000000, 26.4547
1994.000000, 26.4779
1995.000000, 26.5011
1996.000000, 26.5242
1997.000000, 26.5474
1998.000000, 26.5706
1999.000000, 26.5938
2000.000000, 26.617
2001.000000, 26.6402
2002.000000, 26.6634
2003.000000, 26.6865
2004.000000, 26.7097
2005.000000, 26.7329
2006.000000, 26.7561
2007.000000, 26.7793
2008.000000, 26.8025
2009.000000, 26.8257
2010.000000, 26.8489
2011.000000, 26.872
2012.000000, 26.8952
2013.000000, 26.9184
2014.000000, 26.9416
2015.000000, 26.9648
2016.000000, 26.988
2017.000000, 27.0112
2018.000000, 27.0343
2019.000000, 27.0575
2020.000000, 27.0807
2021.000000, 27.1039
2022.000000, 27.1271
2023.000000, 27.1503
2024.000000, 27.1735
2025.000000, 27.1966
2026.000000, 27.2198
2027.000000, 27.243
2028.000000, 27.2662
2029.000000, 27.2894
2030.000000, 27.3126
2031.000000, 27.3358
2032.000000, 27.3589
2033.000000, 27.3821
2034.000000, 27.4053
2035.000000, 27.4285
2036.000000, 27.4517
2037.000000, 27.4749
2038.000000, 27.4981
2039.000000, 27.5213
2040.000000, 27.5444
2041.000000, 27.5676
2042.000000, 27.5908
2043.000000, 27.614
2044.000000, 27.6372
2045.000000, 27.6604
2046.000000, 27.6836
2047.000000, 27.7067
2048.000000, 27.7299
2049.000000, 27.7531
2050.000000, 27.7763
