year,temperature_prediction(c)
1982.000000, 27.0677
1983.000000, 27.1145
1984.000000, 27.1612
1985.000000, 27.208
1986.000000, 27.2548
1987.000000, 27.3015
1988.000000, 27.3483
1989.000000, 27.3951
1990.000000, 27.4418
1991.000000, 27.4886
1992.000000, 27.5354
1993.000000, 27.5822
1994.000000, 27.6289
1995.000000, 27.6757
1996.000000, 27.7225
1997.000000, 27.7692
1998.000000, 27.816
1999.000000, 27.8628
2000.000000, 27.9095
2001.000000, 27.9563
2002.000000, 28.0031
2003.000000, 28.0498
2004.000000, 28.0966
2005.000000, 28.1434
2006.000000, 28.1902
2007.000000, 28.2369
2008.000000, 28.2837
2009.000000, 28.3305
2010.000000, 28.3772
2011.000000, 28.424
2012.000000, 28.4708
2013.000000, 28.5175
2014.000000, 28.5643
2015.000000, 28.6111
2016.000000, 28.6578
2017.000000, 28.7046
2018.000000, 28.7514
2019.000000, 28.7982
2020.000000, 28.8449
2021.000000, 28.8917
2022.000000, 28.9385
2023.000000, 28.9852
2024.000000, 29.032
2025.000000, 29.0788
2026.000000, 29.1255
2027.000000, 29.1723
2028.000000, 29.2191
2029.000000, 29.2658
2030.000000, 29.3126
2031.000000, 29.3594
2032.000000, 29.4062
2033.000000, 29.4529
2034.000000, 29.4997
2035.000000, 29.5465
2036.000000, 29.5932
2037.000000, 29.64
2038.000000, 29.6868
2039.000000, 29.7335
2040.000000, 29.7803
