year,temperature_prediction(c)
1992.000000, 27.8465
1993.000000, 27.8597
1994.000000, 27.8728
1995.000000, 27.8859
1996.000000, 27.899
1997.000000, 27.9122
1998.000000, 27.9253
1999.000000, 27.9384
2000.000000, 27.9515
2001.000000, 27.9647
2002.000000, 27.9778
2003.000000, 27.9909
2004.000000, 28.004
2005.000000, 28.0172
2006.000000, 28.0303
2007.000000, 28.0434
2008.000000, 28.0566
2009.000000, 28.0697
2010.000000, 28.0828
2011.000000, 28.0959
2012.000000, 28.1091
2013.000000, 28.1222
2014.000000, 28.1353
2015.000000, 28.1484
2016.000000, 28.1616
2017.000000, 28.1747
2018.000000, 28.1878
2019.000000, 28.2009
2020.000000, 28.2141
2021.000000, 28.2272
2022.000000, 28.2403
2023.000000, 28.2534
2024.000000, 28.2666
2025.000000, 28.2797
2026.000000, 28.2928
2027.000000, 28.3059
2028.000000, 28.3191
2029.000000, 28.3322
2030.000000, 28.3453
2031.000000, 28.3584
2032.000000, 28.3716
2033.000000, 28.3847
2034.000000, 28.3978
2035.000000, 28.4109
2036.000000, 28.4241
2037.000000, 28.4372
2038.000000, 28.4503
2039.000000, 28.4635
2040.000000, 28.4766
2041.000000, 28.4897
2042.000000, 28.5028
2043.000000, 28.516
2044.000000, 28.5291
2045.000000, 28.5422
2046.000000, 28.5553
2047.000000, 28.5685
2048.000000, 28.5816
2049.000000, 28.5947
2050.000000, 28.6078
2051.000000, 28.621
2052.000000, 28.6341
2053.000000, 28.6472
2054.000000, 28.6603
2055.000000, 28.6735
2056.000000, 28.6866
2057.000000, 28.6997
2058.000000, 28.7128
2059.000000, 28.726
2060.000000, 28.7391
2061.000000, 28.7522
2062.000000, 28.7653
2063.000000, 28.7785
2064.000000, 28.7916
2065.000000, 28.8047
2066.000000, 28.8178
2067.000000, 28.831
2068.000000, 28.8441
2069.000000, 28.8572
2070.000000, 28.8704
2071.000000, 28.8835
2072.000000, 28.8966
2073.000000, 28.9097
2074.000000, 28.9229
2075.000000, 28.936
2076.000000, 28.9491
2077.000000, 28.9622
2078.000000, 28.9754
2079.000000, 28.9885
2080.000000, 29.0016
2081.000000, 29.0147
2082.000000, 29.0279
2083.000000, 29.041
2084.000000, 29.0541
2085.000000, 29.0672
2086.000000, 29.0804
2087.000000, 29.0935
2088.000000, 29.1066
2089.000000, 29.1197
2090.000000, 29.1329
