year,temperature_prediction(c)
1982.000000, 26.6986
1983.000000, 26.7198
1984.000000, 26.7411
1985.000000, 26.7623
1986.000000, 26.7835
1987.000000, 26.8047
1988.000000, 26.8259
1989.000000, 26.8471
1990.000000, 26.8684
1991.000000, 26.8896
1992.000000, 26.9108
1993.000000, 26.932
1994.000000, 26.9532
1995.000000, 26.9745
1996.000000, 26.9957
1997.000000, 27.0169
1998.000000, 27.0381
1999.000000, 27.0593
2000.000000, 27.0805
2001.000000, 27.1018
2002.000000, 27.123
2003.000000, 27.1442
2004.000000, 27.1654
2005.000000, 27.1866
2006.000000, 27.2079
2007.000000, 27.2291
2008.000000, 27.2503
2009.000000, 27.2715
2010.000000, 27.2927
2011.000000, 27.314
2012.000000, 27.3352
2013.000000, 27.3564
2014.000000, 27.3776
2015.000000, 27.3988
2016.000000, 27.42
2017.000000, 27.4413
2018.000000, 27.4625
