year,temperature_prediction(c)
1982.000000, 27.651
1983.000000, 27.678
1984.000000, 27.705
1985.000000, 27.732
1986.000000, 27.759
1987.000000, 27.786
1988.000000, 27.813
1989.000000, 27.84
1990.000000, 27.867
1991.000000, 27.894
1992.000000, 27.921
1993.000000, 27.948
1994.000000, 27.975
1995.000000, 28.002
1996.000000, 28.029
1997.000000, 28.056
1998.000000, 28.083
1999.000000, 28.11
2000.000000, 28.137
2001.000000, 28.164
2002.000000, 28.191
2003.000000, 28.218
2004.000000, 28.245
2005.000000, 28.272
2006.000000, 28.299
2007.000000, 28.326
2008.000000, 28.353
2009.000000, 28.38
2010.000000, 28.407
2011.000000, 28.434
2012.000000, 28.461
2013.000000, 28.488
2014.000000, 28.515
2015.000000, 28.542
2016.000000, 28.569
2017.000000, 28.596
2018.000000, 28.623
2019.000000, 28.65
2020.000000, 28.677
2021.000000, 28.704
2022.000000, 28.731
2023.000000, 28.758
2024.000000, 28.785
2025.000000, 28.812
2026.000000, 28.839
2027.000000, 28.866
2028.000000, 28.893
2029.000000, 28.92
2030.000000, 28.947
2031.000000, 28.974
2032.000000, 29.001
2033.000000, 29.028
2034.000000, 29.055
2035.000000, 29.082
2036.000000, 29.109
2037.000000, 29.136
2038.000000, 29.163
2039.000000, 29.19
2040.000000, 29.217
