year,temperature_prediction(c)
1982.000000, 27.2793
1983.000000, 27.3035
1984.000000, 27.3277
1985.000000, 27.3519
1986.000000, 27.3761
1987.000000, 27.4003
1988.000000, 27.4245
1989.000000, 27.4487
1990.000000, 27.4729
1991.000000, 27.4971
1992.000000, 27.5213
1993.000000, 27.5455
1994.000000, 27.5697
1995.000000, 27.5939
1996.000000, 27.6181
1997.000000, 27.6423
1998.000000, 27.6666
1999.000000, 27.6908
2000.000000, 27.715
2001.000000, 27.7392
2002.000000, 27.7634
2003.000000, 27.7876
2004.000000, 27.8118
2005.000000, 27.836
2006.000000, 27.8602
2007.000000, 27.8844
2008.000000, 27.9086
2009.000000, 27.9328
2010.000000, 27.957
2011.000000, 27.9812
2012.000000, 28.0054
2013.000000, 28.0296
2014.000000, 28.0538
2015.000000, 28.0781
2016.000000, 28.1023
2017.000000, 28.1265
2018.000000, 28.1507
